"theta_grid","QLR_POWERS"
-7,1
-6.8,1
-6.6,1
-6.4,1
-6.2,1
-6,1
-5.8,1
-5.6,1
-5.4,1
-5.2,1
-5,1
-4.8,1
-4.6,1
-4.4,1
-4.2,1
-4,1
-3.8,1
-3.6,1
-3.4,1
-3.2,1
-3,1
-2.8,1
-2.6,1
-2.4,1
-2.2,1
-2,1
-1.8,1
-1.6,0.9984
-1.4,0.9992
-1.2,0.9996
-1,0.9984
-0.8,0.996
-0.6,0.9924
-0.4,0.9784
-0.2,0.9624
0,0.9272
0.2,0.8608
0.4,0.7564
0.6,0.6624
0.8,0.5524
1,0.5232
1.2,0.5492
1.4,0.6628
1.6,0.754
1.8,0.8688
2,0.9212
2.2,0.9568
2.4,0.9836
2.6,0.99
2.8,0.9964
3,0.998
3.2,0.9992
3.4,0.9992
3.6,0.9992
3.8,0.9992
4,1
4.2,0.9992
4.4,1
4.6,1
4.8,1
5,1
5.2,1
5.4,1
5.6,1
5.8,1
6,1
6.2,1
6.4,1
6.6,1
6.8,1
7,1
7.2,1
7.4,1
7.6,1
7.8,1
8,1
8.2,1
8.4,1
8.6,1
8.8,1
9,1
